sample_id,center_id,batch
TCGA-5R-AAAM,5R,3
TCGA-DD-AACG,DD,8
TCGA-G3-A3CH,G3,13
TCGA-DD-AACP,DD,8
TCGA-BD-A2L6,BD,5
TCGA-DD-AAD1,DD,8
TCGA-2Y-A9GZ,2Y,1
TCGA-ED-A7PZ,ED,9
TCGA-KR-A7K2,KR,17
TCGA-G3-AAV5,G3,13
TCGA-DD-AAVV,DD,8
TCGA-CC-A3MB,CC,7
TCGA-DD-AACK,DD,8
TCGA-DD-A3A2,DD,8
TCGA-ED-A7PY,ED,9
TCGA-5C-AAPD,5C,2
TCGA-G3-A3CI,G3,13
TCGA-2Y-A9H4,2Y,1
TCGA-UB-AA0V,UB,23
TCGA-CC-A7IK,CC,7
TCGA-5C-A9VG,5C,2
TCGA-GJ-A9DB,GJ,14
TCGA-DD-A1EB,DD,8
TCGA-DD-AAEE,DD,8
TCGA-GJ-A3OU,GJ,14
TCGA-ZS-A9CF,ZS,28
TCGA-BC-A217,BC,4
TCGA-DD-A4NB,DD,8
TCGA-G3-A5SJ,G3,13
TCGA-BW-A5NO,BW,6
TCGA-CC-A7IF,CC,7
TCGA-G3-A3CG,G3,13
TCGA-ED-A7XO,ED,9
TCGA-RC-A6M5,RC,22
TCGA-KR-A7K7,KR,17
TCGA-DD-AACZ,DD,8
TCGA-LG-A9QC,LG,18
TCGA-G3-A5SK,G3,13
TCGA-DD-AAE7,DD,8
TCGA-UB-A7MD,UB,23
TCGA-DD-A1EF,DD,8
TCGA-DD-A3A6,DD,8
TCGA-DD-A116,DD,8
TCGA-EP-A12J,EP,10
TCGA-XR-A8TE,XR,26
TCGA-BC-A10Z,BC,4
TCGA-BC-A216,BC,4
