sample_id,center_id,batch
TCGA-CH-5750,CH,2
TCGA-XK-AAJA,XK,19
TCGA-EJ-7781,EJ,3
TCGA-FC-A5OB,FC,4
TCGA-EJ-A46B,EJ,3
TCGA-KK-A8IJ,KK,11
TCGA-HC-7232,HC,6
TCGA-EJ-5501,EJ,3
TCGA-YL-A8HK,YL,21
TCGA-EJ-7328,EJ,3
TCGA-YL-A9WL,YL,21
TCGA-EJ-A8FS,EJ,3
TCGA-G9-6379,G9,5
TCGA-HC-A6AP,HC,6
TCGA-J9-A8CP,J9,9
