sample_id,center_id,batch
TCGA-HN-A2OB,HN,10
TCGA-A2-A0T0,A2,3
TCGA-A2-A0YC,A2,3
TCGA-EW-A1J3,EW,16
TCGA-A2-A1FV,A2,3
TCGA-LL-A6FP,LL,18
TCGA-A8-A07F,A8,5
TCGA-BH-A0BQ,BH,11
TCGA-B6-A0I8,B6,10
TCGA-AR-A252,AR,9
TCGA-A7-A6VX,A7,4
TCGA-B6-A0WT,B6,10
TCGA-AO-A0J8,AO,8
TCGA-B6-A0WY,B6,10
TCGA-A8-A093,A8,5
TCGA-B6-A409,B6,10
TCGA-S3-AA15,S3,20
TCGA-BH-A0H7,BH,11
TCGA-B6-A0RS,B6,10
TCGA-AR-A2LH,AR,9
TCGA-Z7-A8R5,Z7,10
TCGA-A8-A0A9,A8,5
TCGA-A2-A0CM,A2,3
TCGA-A7-A3RF,A7,4
TCGA-S3-A6ZH,S3,20
