sample_id,center_id,batch
TCGA-FD-A62P,FD,12
TCGA-KQ-A41R,KQ,23
TCGA-DK-A3WW,DK,9
TCGA-DK-A1A3,DK,9
TCGA-CF-A9FF,CF,7
TCGA-FD-A6TB,FD,12
TCGA-GC-A3BM,GC,16
TCGA-BT-A0S7,BT,5
TCGA-HQ-A2OF,HQ,21
TCGA-GC-A6I1,GC,16
TCGA-SY-A9G5,SY,27
TCGA-K4-A6FZ,K4,22
TCGA-XF-A9T2,XF,29
TCGA-E7-A85H,E7,11
TCGA-CF-A47Y,CF,7
TCGA-E7-A7DV,E7,11
TCGA-FD-A3N6,FD,12
TCGA-BT-A3PK,BT,5
TCGA-GC-A3RC,GC,16
TCGA-XF-A9SU,XF,29
TCGA-PQ-A6FI,PQ,25
TCGA-BT-A20T,BT,5
TCGA-FD-A3SJ,FD,12
TCGA-ZF-AA4X,ZF,32
TCGA-E7-A4XJ,E7,11
TCGA-4Z-AA83,4Z,2
TCGA-2F-A9KO,2F,1
TCGA-DK-A1AC,DK,9
TCGA-E7-A8O7,E7,11
TCGA-XF-AAMY,XF,29
TCGA-XF-AAN5,XF,29
TCGA-ZF-AA54,ZF,32
TCGA-E7-A7PW,E7,11
TCGA-DK-A3IU,DK,9
TCGA-4Z-AA89,4Z,2
TCGA-CU-A3QU,CU,8
TCGA-S5-A6DX,S5,26
TCGA-2F-A9KQ,2F,1
TCGA-DK-A3IL,DK,9
TCGA-FD-A6TE,FD,12
TCGA-XF-A8HB,XF,29
TCGA-DK-AA77,DK,9
TCGA-GV-A3QI,GV,19
TCGA-XF-AAME,XF,29
TCGA-XF-A9T0,XF,29
TCGA-FD-A5BZ,FD,12
TCGA-CU-A5W6,CU,8
TCGA-GV-A3JX,GV,19
TCGA-DK-A3IN,DK,9
TCGA-DK-A1AG,DK,9
TCGA-DK-A1A6,DK,9
TCGA-BL-A0C8,BL,4
TCGA-DK-A6B5,DK,9
TCGA-FD-A6TC,FD,12
TCGA-GD-A3OP,GD,17
TCGA-GU-A764,GU,18
TCGA-GD-A2C5,GD,17
TCGA-4Z-AA87,4Z,2
TCGA-FD-A6TA,FD,12
TCGA-UY-A78K,UY,28
TCGA-DK-AA71,DK,9
TCGA-DK-AA6U,DK,9
TCGA-FD-A6TF,FD,12
TCGA-XF-A9SK,XF,29
TCGA-DK-A2HX,DK,9
TCGA-UY-A9PB,UY,28
TCGA-DK-A1A7,DK,9
TCGA-MV-A51V,MV,9
TCGA-XF-AAMR,XF,29
TCGA-DK-A6B0,DK,9
TCGA-4Z-AA80,4Z,2
TCGA-DK-A2I6,DK,9
TCGA-G2-A2EO,G2,15
TCGA-ZF-AA4T,ZF,32
TCGA-BL-A13I,BL,4
TCGA-C4-A0F1,C4,6
TCGA-HQ-A2OE,HQ,21
TCGA-XF-A9SI,XF,29
TCGA-FJ-A3Z7,FJ,13
TCGA-2F-A9KR,2F,1
TCGA-KQ-A41O,KQ,23
TCGA-4Z-AA7R,4Z,2
TCGA-E7-A5KE,E7,11
TCGA-ZF-A9RC,ZF,32
TCGA-E7-A6ME,E7,11
TCGA-G2-AA3D,G2,15
TCGA-FD-A6TI,FD,12
TCGA-G2-A3VY,G2,15
TCGA-CU-A0YN,CU,8
TCGA-ZF-AA5N,ZF,32
TCGA-GV-A40G,GV,19
